Product Name,SKU,Selling Price,Stock,Category,Brand,Description
Classic Cotton T-Shirt,TSH-BLK-M,599,120,Apparel,Relay Basics,Soft 100% cotton crew-neck t-shirt
Slim Fit Denim Jeans,JNS-BLU-32,1499,45,Apparel,Relay Basics,Mid-rise slim fit stretch denim
Running Sneakers,SHO-WHT-9,2999,0,Footwear,StrideMax,Lightweight breathable running shoes
Leather Wallet,WAL-BRN-01,899,60,Accessories,Craftline,Genuine leather bifold wallet
Stainless Steel Water Bottle,BTL-STL-750,449,200,Home & Kitchen,HydroFlow,750ml insulated water bottle
Wireless Earbuds,EAR-BLK-01,3499,35,Electronics,SoundCore,Bluetooth 5.3 earbuds with charging case
Yoga Mat,YGA-PUR-06,799,80,Fitness,FlexFit,6mm non-slip yoga mat
Ceramic Coffee Mug,MUG-WHT-350,249,150,Home & Kitchen,BrewHouse,350ml ceramic mug dishwasher safe
Canvas Backpack,BAG-GRY-20,1899,25,Accessories,Craftline,20L water-resistant canvas backpack
Aromatic Scented Candle,CND-VAN-01,349,90,Home & Decor,Lumina,Vanilla bean soy wax candle
